name,address,type
FUN_00420d10,0x420d10,function
FUN_00420f40,0x420f40,function
FUN_00421120,0x421120,function
FUN_00421180,0x421180,function
FUN_00421280,0x421280,function
FUN_004212e0,0x4212e0,function
FUN_00421300,0x421300,function
FUN_004213f0,0x4213f0,function
FUN_004215f0,0x4215f0,function
th08::GameManager::GetTimeOrbs,0x421b60,function
th08::GameManager::GetLastSpellTimeOrbThreshold,0x421b80,function
th08::GameManager::ScaleIntBasedOnRank,0x421ba0,function
FUN_00421bd0,0x421bd0,function
FUN_00421cb0,0x421cb0,function
th08::utils::DebugPrint,0x421dd0,function
FUN_00421de0,0x421de0,function
FUN_00421e50,0x421e50,function
FUN_00422020,0x422020,function
FUN_004222b0,0x4222b0,function
th08::GameManager::GetPower,0x422480,function
FUN_004224a0,0x4224a0,function
FUN_00422720,0x422720,function
th08::GameManager::ScaleFloatBasedOnRank,0x422b80,function
th08::AsciiManager::FUN_00422bb0,0x422bb0,function
th08::AsciiManager::SetBossMarkerPosition,0x422be0,function
FUN_00422c20,0x422c20,function
FUN_00422c40,0x422c40,function
FUN_004230c0,0x4230c0,function
FUN_004230e0,0x4230e0,function
FUN_00423110,0x423110,function
FUN_00423130,0x423130,function
FUN_00423150,0x423150,function
th08::EclExIns::MystiaNightBlindness,0x423390,function
FUN_004233d0,0x4233d0,function
FUN_00423400,0x423400,function
FUN_00423530,0x423530,function
FUN_004235a0,0x4235a0,function
FUN_00423a60,0x423a60,function
FUN_00423d70,0x423d70,function
FUN_00423db0,0x423db0,function
FUN_00423e20,0x423e20,function
FUN_00424130,0x424130,function
FUN_00424170,0x424170,function
FUN_004241e0,0x4241e0,function
FUN_004244f0,0x4244f0,function
FUN_004246e0,0x4246e0,function
FUN_00424730,0x424730,function
FUN_00424820,0x424820,function
FUN_00424910,0x424910,function
FUN_00424a00,0x424a00,function
th08::EclExIns::ReisenFreezeBullets,0x424a20,function
FUN_00424c40,0x424c40,function
FUN_00424e00,0x424e00,function
FUN_00424e20,0x424e20,function
FUN_00424e50,0x424e50,function
FUN_00424f60,0x424f60,function
FUN_00424f90,0x424f90,function
FUN_00424fc0,0x424fc0,function
FUN_00424ff0,0x424ff0,function
FUN_00425020,0x425020,function
FUN_00425040,0x425040,function
FUN_00425070,0x425070,function
FUN_004250d0,0x4250d0,function
FUN_004251b0,0x4251b0,function
FUN_00425290,0x425290,function
FUN_00425390,0x425390,function
FUN_004253e0,0x4253e0,function
th08::EffectManager::ResetEffects,0x425410,function
FUN_00425430,0x425430,function
FUN_00425650,0x425650,function
FUN_00425870,0x425870,function
FUN_004259e0,0x4259e0,function
FUN_00425b70,0x425b70,function
FUN_00425d70,0x425d70,function
FUN_00425e60,0x425e60,function
FUN_00425ea0,0x425ea0,function
FUN_00425fa0,0x425fa0,function
FUN_00425fe0,0x425fe0,function
FUN_00426030,0x426030,function
FUN_00426280,0x426280,function
FUN_004264f0,0x4264f0,function
FUN_00426720,0x426720,function
FUN_00426990,0x426990,function
FUN_00426b20,0x426b20,function
FUN_00426bb0,0x426bb0,function
FUN_00426c40,0x426c40,function
FUN_00426c90,0x426c90,function
FUN_00426d10,0x426d10,function
FUN_00426d70,0x426d70,function
FUN_00426e70,0x426e70,function
FUN_004270c0,0x4270c0,function
FUN_004271a0,0x4271a0,function
FUN_00427250,0x427250,function
FUN_00427260,0x427260,function
FUN_004272e0,0x4272e0,function
FUN_00427450,0x427450,function
FUN_00427970,0x427970,function
FUN_00427990,0x427990,function
FUN_004279d0,0x4279d0,function
FUN_00427a60,0x427a60,function
FUN_00427ae0,0x427ae0,function
FUN_00427b50,0x427b50,function
FUN_00427bf0,0x427bf0,function
FUN_00427f00,0x427f00,function
th08::EffectManager::DrawUnkTypeEffects,0x428100,function
FUN_004281e0,0x4281e0,function
FUN_00428310,0x428310,function
FUN_004284b0,0x4284b0,function
FUN_00428590,0x428590,function
FUN_00428620,0x428620,function
th08::EffectManager::CutChain,0x4286b0,function
FUN_004286e0,0x4286e0,function
FUN_00428700,0x428700,function
FUN_00428720,0x428720,function
th08::EffectManager::EffectManager,0x428740,function
th08::Effect::Effect,0x4287e0,function
th08::Ending::ReadEndFileParameter,0x428890,function
th08::Ending::FadingEffect,0x428910,function
th08::Ending::ParseEndFile,0x428b80,function
th08::Ending::LoadEnding,0x4295e0,function
th08::Ending::RegisterChain,0x4296a0,function
th08::Ending::Ending,0x4297b0,function
th08::Ending::OnUpdate,0x429860,function
th08::Ending::OnDraw,0x4298f0,function
th08::Ending::AddedCallback,0x429980,function
th08::Ending::DeletedCallback,0x429d40,function
th08::ZunMemory::AddToRegistry,0x429de0,function
th08::ZunMemory::RemoveFromRegistry,0x429df0,function
th08::EnemyManager::Initialize,0x429e00,function
th08::EnemyManager::EnemyManager,0x42a210,function
th08::Enemy::Enemy,0x42a280,function
FUN_0042a410,0x42a410,function
FUN_0042a450,0x42a450,function
FUN_0042a490,0x42a490,function
FUN_0042a4c0,0x42a4c0,function
FUN_0042a4e0,0x42a4e0,function
FUN_0042a680,0x42a680,function
FUN_0042a820,0x42a820,function
FUN_0042a8a0,0x42a8a0,function
FUN_0042adb0,0x42adb0,function
FUN_0042b2f0,0x42b2f0,function
FUN_0042b370,0x42b370,function
FUN_0042b490,0x42b490,function
FUN_0042b930,0x42b930,function
FUN_0042bc50,0x42bc50,function
FUN_0042bc90,0x42bc90,function
FUN_0042bcf0,0x42bcf0,function
FUN_0042bea0,0x42bea0,function
FUN_0042c180,0x42c180,function
FUN_0042c290,0x42c290,function
FUN_0042c3b0,0x42c3b0,function
FUN_0042c420,0x42c420,function
th08::EnemyManager::RegisterChain,0x42c590,function
th08::EnemyManager::OnUpdate,0x42c660,function
FUN_0042deb0,0x42deb0,function
FUN_0042dfb0,0x42dfb0,function
FUN_0042dfd0,0x42dfd0,function
FUN_0042dff0,0x42dff0,function
FUN_0042e010,0x42e010,function
th08::EnemyManager::OnDrawHighPrio,0x42e120,function
th08::EnemyManager::OnDrawImpl,0x42e140,function
FUN_0042eb10,0x42eb10,function
th08::EnemyManager::OnDrawLowPrio,0x42eb90,function
th08::EnemyManager::AddedCallback,0x42ebf0,function
th08::EnemyManager::DeletedCallback,0x42ee80,function
th08::EnemyManager::CutChain,0x42ef70,function
FUN_0042efb0,0x42efb0,function
FUN_0042f1f0,0x42f1f0,function
th08::GameManager::IsSoloHuman,0x42f230,function
th08::GameManager::IsSoloYoukai,0x42f270,function
th08::GameManager::GetLives,0x42f2b0,function
th08::AsciiManager::FUN_0042f2d0,0x42f2d0,function
th08::AsciiManager::SetScale,0x42f2f0,function
FUN_0042f320,0x42f320,function
FUN_0042f340,0x42f340,function
th08::BulletManager::Initialize,0x42f360,function
th08::BulletManager::BulletManager,0x42f420,function
th08::BulletTypeSprites::BulletTypeSprites,0x42f4a0,function
th08::Bullet::Bullet,0x42f500,function
th08::Laser::Laser,0x42f580,function
th08::BulletExState::BulletExState,0x42f5c0,function
FUN_0042f5f0,0x42f5f0,function
FUN_0042fe70,0x42fe70,function
FUN_0042fea0,0x42fea0,function
FUN_0042ff70,0x42ff70,function
FUN_0042ffc0,0x42ffc0,function
FUN_00430830,0x430830,function
FUN_00430aa0,0x430aa0,function
FUN_00430ab0,0x430ab0,function
FUN_00430d30,0x430d30,function
FUN_00430e10,0x430e10,function
FUN_00430f20,0x430f20,function
th08::BulletManager::RegisterChain,0x4311a0,function
th08::BulletManager::OnUpdate,0x431240,function
FUN_00432170,0x432170,function
FUN_004321b0,0x4321b0,function
FUN_00432210,0x432210,function
FUN_004322b0,0x4322b0,function
FUN_00432390,0x432390,function
FUN_00432460,0x432460,function
FUN_004325a0,0x4325a0,function
FUN_004326e0,0x4326e0,function
FUN_00432830,0x432830,function
FUN_004329f0,0x4329f0,function
FUN_00432aa0,0x432aa0,function
th08::BulletManager::OnDraw,0x432b50,function
th08::BulletManager::DrawSingleBullet,0x432f20,function
th08::BulletManager::AddedCallback,0x433070,function
FUN_004337f0,0x4337f0,function
th08::BulletManager::DeletedCallback,0x433820,function
th08::BulletManager::CutChain,0x433850,function
FUN_00433880,0x433880,function
FUN_004338b0,0x4338b0,function
FUN_004338c0,0x4338c0,function
th08::Gui::OnUpdate,0x4338ca,function
th08::Gui::OnDraw,0x433927,function
FUN_0043396d,0x43396d,function
th08::GuiImpl::RunMsg,0x433db3,function
FUN_004353ec,0x4353ec,function
th08::GuiImpl::DrawDialogue,0x43542b,function
th08::Gui::MsgWait,0x43587e,function
th08::Gui::FUN_004358bb,0x4358bb,function
th08::Gui::FUN_00435900,0x435900,function
th08::Gui::DrawGameScene,0x43625d,function
th08::Gui::FUN_0043741d,0x43741d,function
th08::Gui::AddedCallback,0x437a2f,function
th08::Gui::DeletedCallback,0x437a40,function
th08::Gui::RegisterChain,0x437ad0,function
th08::GuiImpl::GuiImpl,0x437bc4,function
th08::utils::GuiDebugPrint,0x437cdd,function
th08::GuiMsgVm::GuiMsgVm,0x437ce2,function
th08::GuiFormattedText::GuiFormattedText,0x437d45,function
th08::Gui::CutChain,0x437d64,function
th08::Gui::FUN_00437d87,0x437d87,function
FUN_00437dc7,0x437dc7,function
FUN_00437ddd,0x437ddd,function
FUN_00437e5d,0x437e5d,function
FUN_00437edc,0x437edc,function
FUN_00437f5c,0x437f5c,function
FUN_00438046,0x438046,function
th08::Gui::FUN_0043826b,0x43826b,function
th08::Supervisor::IsMinimumGraphicsMode,0x438a29,function
th08::Supervisor::IsDepthTestDisabled,0x438a41,function
th08::Supervisor::IsColorCompositingDisabled,0x438a59,function
th08::Supervisor::IsHUDRedrawEnabled,0x438a71,function
th08::Gui::FUN_00438a89,0x438a89,function
th08::Gui::FUN_00438f58,0x438f58,function
FUN_00438fe9,0x438fe9,function
FUN_00438ff3,0x438ff3,function
th08::IsDisableResourceReload,0x438ffd,function
FUN_00439007,0x439007,function
FUN_00439050,0x439050,function
FUN_00439093,0x439093,function
FUN_004390d6,0x4390d6,function
th08::Gui::ActualAddedCallback,0x4390ee,function
FUN_004396b8,0x4396b8,function
th08::AnmVm::IsStopped,0x4396f8,function
th08::Gui::LoadMsg,0x439710,function
th08::Gui::FreeMsgFile,0x4397d5,function
FUN_00439810,0x439810,function
th08::GameManager::FUN_00439829,0x439829,function
th08::GameManager::FUN_00439856,0x439856,function
th08::GameManager::AddToBombCount,0x439883,function
th08::GameManager::GetBombsRemaining,0x4398ce,function
th08::AsciiManager::SetColor,0x4398e8,function
th08::AsciiManager::SetIsGuiMode,0x4398ff,function
FUN_00439916,0x439916,function
FUN_00439961,0x439961,function
th08::GameManager::IsWithinPlayfield,0x4399ac,function
th08::GameManager::CalcAntiTamperChecksum,0x439a2e,function
th08::GameManager::CalcChecksum,0x439ac5,function
th08::GameManager::CollectExtend,0x439b29,function
th08::GameManager::OnUpdate,0x439bc7,function
th08::GameManager::OnDraw,0x43aa03,function
th08::GameManager::RegisterChain,0x43aa5c,function
th08::GameManager::AddedCallback,0x43aaf4,function
th08::GameManager::GameplaySetupThread,0x43abd7,function
th08::GameManager::InitRankParams,0x43b936,function
th08::GameManager::InitializeAntiTamper,0x43b984,function
FUN_0043bbe1,0x43bbe1,function
FUN_0043be09,0x43be09,function
th08::GameManager::DeletedCallback,0x43be2c,function
th08::GameManager::CutChain,0x43bf6e,function
th08::GameManager::IncreaseSubrank,0x43bfc3,function
th08::GameManager::DecreaseSubrank,0x43c03f,function
th08::GameManager::AddToYoukaiGauge,0x43c0bb,function
th08::GameManager::FinalBCleared,0x43c15f,function
th08::GameManager::FinalBClearedWithAnyTeam,0x43c1e9,function
th08::GameManager::FinalACleared,0x43c23b,function
th08::GameManager::FinalAClearedWithAnyTeam,0x43c2c5,function
FUN_0043c317,0x43c317,function
th08::GameManager::FUN_0043c322,0x43c322,function
th08::GameManager::GetClockTimeIncrement,0x43c35f,function
th08::GameManager::AdvanceToNextStage,0x43c4b3,function
th08::GameManager::GameManager,0x43c5e1,function
th08::GameManager::AddLives,0x43c641,function
th08::GameManager::InitArcadeRegionParams,0x43c686,function
th08::Chain::~Chain,0x43c710,function
th08::ChainElem::ChainElem,0x43c760,function
th08::ChainElem::~ChainElem,0x43c7d0,function
th08::Chain::Chain,0x43c830,function
th08::Chain::AddToCalcChain,0x43c880,function
th08::Chain::AddToDrawChain,0x43c960,function
th08::Chain::RunCalcChain,0x43ca50,function
th08::Chain::RunDrawChain,0x43cb60,function
th08::Chain::ReleaseSingleChain,0x43cc60,function
th08::ChainElem::`scalar deleting destructor',0x43ce00,function
th08::Chain::Release,0x43ce30,function
th08::Chain::CreateElem,0x43ce60,function
th08::Chain::Cut,0x43cf10,function
th08::Chain::CutImpl,0x43cf50,function
th08::Controller::GetJoystickCaps,0x43d0c0,function
th08::Controller::GetControllerInput,0x43d120,function
th08::Controller::SetButtonFromDirectInputJoystate,0x43d6e0,function
th08::Controller::SetButtonFromControllerInputs,0x43d760,function
th08::Controller::GetControllerState,0x43d7e0,function
th08::Controller::GetInput,0x43d970,function
th08::Controller::ResetKeyboard,0x43e160,function
th08::FileSystem::Decrypt,0x43e1d0,function
th08::FileSystem::TryDecryptFromTable,0x43e390,function
th08::FileSystem::Encrypt,0x43e4a0,function
th08::FileSystem::OpenFile,0x43e660,function
th08::FileSystem::CheckIfFileAlreadyExists,0x43e880,function
th08::FileSystem::WriteDataToFile,0x43e8f0,function
th08::GameErrorContext::Log,0x43ea00,function
th08::GameErrorContext::Fatal,0x43eb60,function
th08::Rng::GetRandomU16,0x43ecc0,function
th08::Rng::GetRandomU32,0x43ed20,function
th08::Rng::GetRandomF32,0x43ed50,function
th08::Rng::GetRandomF32Signed,0x43ed80,function
th08::AddNormalizeAngle,0x43edb0,function
th08::Rotate,0x43ee30,function
th08::ZunMemory::ZunMemory,0x43ee90,function
th08::ZunMemory::~ZunMemory,0x43eeb0,function
th08::GameErrorContext::GameErrorContext,0x43ef10,function
th08::MidiTimer::OnTimerElapsed,0x43ef40,function
th08::Supervisor::IsShotSlowEnabled,0x43ef50,function
th08::Supervisor::EnterCriticalSectionWrapper,0x43ef70,function
th08::Supervisor::LeaveCriticalSectionWrapper,0x43efb0,function
th08::TextHelper::TextHelper,0x43efef,function
th08::TextHelper::~TextHelper,0x43f02b,function
th08::TextHelper::ReleaseBuffer,0x43f03c,function
th08::TextHelper::AllocateBufferWithFallback,0x43f0ae,function
th08::TextHelper::TryAllocateBuffer,0x43f10d,function
th08::TextHelper::GetFormatInfo,0x43f2cc,function
th08::TextHelper::InvertAlpha,0x43f31c,function
th08::TextHelper::GetBuffer,0x43f828,function
th08::TextHelper::GetImageWidthInBytes,0x43f837,function
th08::TextHelper::GetHeight,0x43f846,function
th08::TextHelper::GetHDC,0x43f855,function
th08::TextHelper::GetWidth,0x43f864,function
th08::TextHelper::GetFormat,0x43f873,function
th08::TextHelper::IsAllocated,0x43f881,function
th08::TextHelper::CopyTextToSurface,0x43f898,function
th08::TextHelper::CreateTextBuffer,0x43f980,function
th08::TextHelper::ReleaseTextBuffer,0x43f9a3,function
th08::TextHelper::RenderTextToTextureBold,0x43f9c8,function
th08::TextHelper::RenderTextToTexture,0x43fce9,function
th08::ItemManager::ItemManager,0x440010,function
